date,slug,version,platform,checkpoint,views,retention_3s_pct,avg_watch_s,completion_pct,likes,comments,shares,saves,followers_gained,hook_text,notes
2026-09-25,wolverine-watermelons,5,youtube,day 8,413,,,,12,1,,,,Everyone thinks I'm just a guy with claws.,uploaded 2026-09-17; public snapshot
2026-09-25,wolverine-watermelons,5,tiktok,day 8,1,,,,2,0,0,,,Everyone thinks I'm just a guy with claws.,uploaded 2026-09-17; public snapshot
2026-09-25,wolverine-watermelons,5,instagram,day 8,147,,,,3,0,,,,Everyone thinks I'm just a guy with claws.,uploaded 2026-09-17; public snapshot
2026-09-25,wolverine-watermelons,5,facebook,day 8,275,,,,,,,,,Everyone thinks I'm just a guy with claws.,uploaded 2026-09-17; public snapshot
2026-09-25,jhin-four-shots,9,youtube,day 7,62,,,,7,1,,,,Four shots. One masterpiece.,uploaded 2026-09-18; public snapshot
2026-09-25,jhin-four-shots,9,tiktok,day 7,2,,,,2,0,0,,,Four shots. One masterpiece.,uploaded 2026-09-18; public snapshot
2026-09-25,jhin-four-shots,9,instagram,day 7,149,,,,4,1,,,,Four shots. One masterpiece.,uploaded 2026-09-18; public snapshot
2026-09-25,jhin-four-shots,9,facebook,day 7,341,,,,,,,,,Four shots. One masterpiece.,uploaded 2026-09-18; public snapshot
2026-09-25,batman-alley,8,youtube,day 6,808,,,,16,4,,,,Three villains. One bat.,uploaded 2026-09-19; public snapshot
2026-09-25,batman-alley,8,tiktok,day 6,226,,,,6,0,0,,,Three villains. One bat.,uploaded 2026-09-19; public snapshot
2026-09-25,batman-alley,8,instagram,day 6,125,,,,5,1,,,,Three villains. One bat.,uploaded 2026-09-19; public snapshot
2026-09-25,batman-alley,8,facebook,day 6,279,,,,,,,,,Three villains. One bat.,uploaded 2026-09-19; public snapshot
2026-09-25,dodgeball-duel,17,youtube,day 5,456,,,,11,,,,,Nobody can hit Noodle.,uploaded 2026-09-20; public snapshot
2026-09-25,dodgeball-duel,17,tiktok,day 5,2,,,,3,0,0,,,Nobody can hit Noodle.,uploaded 2026-09-20; public snapshot
2026-09-25,dodgeball-duel,17,instagram,day 5,117,,,,3,0,,,,Nobody can hit Noodle.,uploaded 2026-09-20; public snapshot
2026-09-25,dodgeball-duel,17,facebook,day 5,224,,,,,,,,,Nobody can hit Noodle.,uploaded 2026-09-20; public snapshot
2026-09-25,the-shapeshifter,9,youtube,day 4,321,,,,9,,,,,One actor. Five voices.,uploaded 2026-09-21; public snapshot
2026-09-25,the-shapeshifter,9,tiktok,day 4,171,,,,5,0,0,,,One actor. Five voices.,uploaded 2026-09-21; public snapshot
2026-09-25,the-shapeshifter,9,instagram,day 4,146,,,,2,0,,,,One actor. Five voices.,uploaded 2026-09-21; public snapshot
2026-09-25,the-shapeshifter,9,facebook,day 4,252,,,,,,,,,One actor. Five voices.,uploaded 2026-09-21; public snapshot
2026-09-25,batman-unexpected-item,21,youtube,day 1,1748,,,,67,,,,,His deadliest enemy yet.,uploaded 2026-09-24; public snapshot
2026-09-25,batman-unexpected-item,21,tiktok,day 1,565,,,,10,0,0,,,His deadliest enemy yet.,uploaded 2026-09-24; public snapshot
2026-09-25,batman-unexpected-item,21,instagram,day 1,2434,,,,33,0,,,,His deadliest enemy yet.,uploaded 2026-09-24; public snapshot
2026-09-25,batman-unexpected-item,21,facebook,day 1,1200,,,,,,,,,His deadliest enemy yet.,uploaded 2026-09-24; public snapshot; views rounded by Facebook
2026-09-26,wolverine-watermelons,5,youtube,day 9,413,,,,12,1,,,,Everyone thinks I'm just a guy with claws.,uploaded 2026-09-17; youtube-data-api
2026-09-26,wolverine-watermelons,5,tiktok,day 9,1,,,,2,0,0,,,Everyone thinks I'm just a guy with claws.,uploaded 2026-09-17; yt-dlp
2026-09-26,wolverine-watermelons,5,instagram,day 9,147,,3.2,,3,0,0,0,,Everyone thinks I'm just a guy with claws.,uploaded 2026-09-17; instagram-graph-api; reach 133
2026-09-26,wolverine-watermelons,5,facebook,day 9,275,100,2.2,0,3,,,,0,Everyone thinks I'm just a guy with claws.,uploaded 2026-09-17; facebook-graph-api; reach 248; replays 23
2026-09-26,jhin-four-shots,9,youtube,day 8,62,,,,7,1,,,,Four shots. One masterpiece.,uploaded 2026-09-18; youtube-data-api
2026-09-26,jhin-four-shots,9,tiktok,day 8,2,,,,2,0,0,,,Four shots. One masterpiece.,uploaded 2026-09-18; yt-dlp
2026-09-26,jhin-four-shots,9,instagram,day 8,149,,4.8,,4,1,0,0,,Four shots. One masterpiece.,uploaded 2026-09-18; instagram-graph-api; reach 143
2026-09-26,jhin-four-shots,9,facebook,day 8,341,100,6.0,4.1,4,,,,0,Four shots. One masterpiece.,uploaded 2026-09-18; facebook-graph-api; reach 281; replays 51
2026-09-26,batman-alley,8,youtube,day 7,808,,,,17,4,,,,Three villains. One bat.,uploaded 2026-09-19; youtube-data-api
2026-09-26,batman-alley,8,tiktok,day 7,226,,,,6,0,0,,,Three villains. One bat.,uploaded 2026-09-19; yt-dlp
2026-09-26,batman-alley,8,instagram,day 7,125,,5.4,,5,1,0,0,,Three villains. One bat.,uploaded 2026-09-19; instagram-graph-api; reach 107
2026-09-26,batman-alley,8,facebook,day 7,279,100,2.9,6.1,2,,,,0,Three villains. One bat.,uploaded 2026-09-19; facebook-graph-api; reach 248; replays 41
2026-09-26,dodgeball-duel,17,youtube,day 6,456,,,,11,0,,,,Nobody can hit Noodle.,uploaded 2026-09-20; youtube-data-api
2026-09-26,dodgeball-duel,17,tiktok,day 6,2,,,,3,0,0,,,Nobody can hit Noodle.,uploaded 2026-09-20; yt-dlp
2026-09-26,dodgeball-duel,17,instagram,day 6,117,,2.0,,3,0,0,0,,Nobody can hit Noodle.,uploaded 2026-09-20; instagram-graph-api; reach 98
2026-09-26,dodgeball-duel,17,facebook,day 6,224,94.4,2.4,,2,,,,0,Nobody can hit Noodle.,uploaded 2026-09-20; facebook-graph-api; reach 214; replays 12
2026-09-26,the-shapeshifter,9,youtube,day 5,322,,,,9,0,,,,One actor. Five voices.,uploaded 2026-09-21; youtube-data-api
2026-09-26,the-shapeshifter,9,tiktok,day 5,171,,,,5,0,0,,,One actor. Five voices.,uploaded 2026-09-21; yt-dlp
2026-09-26,the-shapeshifter,9,instagram,day 5,146,,10.9,,2,0,0,0,,One actor. Five voices.,uploaded 2026-09-21; instagram-graph-api; reach 130
2026-09-26,the-shapeshifter,9,facebook,day 5,252,77.1,3.3,,2,,,,0,One actor. Five voices.,uploaded 2026-09-21; facebook-graph-api; reach 236; replays 16
2026-09-26,batman-unexpected-item,21,youtube,day 2,5789,,,,197,0,,,,His deadliest enemy yet.,uploaded 2026-09-24; youtube-data-api
2026-09-26,batman-unexpected-item,21,tiktok,day 2,567,,,,10,0,0,,,His deadliest enemy yet.,uploaded 2026-09-24; yt-dlp
2026-09-26,batman-unexpected-item,21,instagram,day 2,2465,,21.5,,33,0,2,1,,His deadliest enemy yet.,uploaded 2026-09-24; instagram-graph-api; reach 1796
2026-09-26,batman-unexpected-item,21,facebook,day 2,1304,100,9.2,20.7,10,,,,1,His deadliest enemy yet.,uploaded 2026-09-24; facebook-graph-api; reach 1124; replays 177
2026-09-26,wolverine-watermelons,5,youtube,day 9,413,106.2,13,10.3,12,1,0,,2,Everyone thinks I'm just a guy with claws.,uploaded 2026-09-17; youtube-data-api + youtube-analytics; avg_pct 38.6
2026-09-26,wolverine-watermelons,5,tiktok,day 9,1,,,,2,0,0,,,Everyone thinks I'm just a guy with claws.,uploaded 2026-09-17; yt-dlp
2026-09-26,wolverine-watermelons,5,instagram,day 9,147,,3.2,,3,0,0,0,,Everyone thinks I'm just a guy with claws.,uploaded 2026-09-17; instagram-graph-api; reach 133
2026-09-26,wolverine-watermelons,5,facebook,day 9,275,100,2.2,0,3,,,,0,Everyone thinks I'm just a guy with claws.,uploaded 2026-09-17; facebook-graph-api; reach 248; replays 23
2026-09-26,jhin-four-shots,9,youtube,day 8,62,104.2,17,16.7,7,1,0,,0,Four shots. One masterpiece.,uploaded 2026-09-18; youtube-data-api + youtube-analytics; avg_pct 49.1
2026-09-26,jhin-four-shots,9,tiktok,day 8,2,,,,2,0,0,,,Four shots. One masterpiece.,uploaded 2026-09-18; yt-dlp
2026-09-26,jhin-four-shots,9,instagram,day 8,149,,4.8,,4,1,0,0,,Four shots. One masterpiece.,uploaded 2026-09-18; instagram-graph-api; reach 143
2026-09-26,jhin-four-shots,9,facebook,day 8,341,100,6.0,4.1,4,,,,0,Four shots. One masterpiece.,uploaded 2026-09-18; facebook-graph-api; reach 281; replays 51
2026-09-26,batman-alley,8,youtube,day 7,808,111.6,17,15.2,17,4,1,,3,Three villains. One bat.,uploaded 2026-09-19; youtube-data-api + youtube-analytics; avg_pct 52.6
2026-09-26,batman-alley,8,tiktok,day 7,226,,,,6,0,0,,,Three villains. One bat.,uploaded 2026-09-19; yt-dlp
2026-09-26,batman-alley,8,instagram,day 7,125,,5.4,,5,1,0,0,,Three villains. One bat.,uploaded 2026-09-19; instagram-graph-api; reach 107
2026-09-26,batman-alley,8,facebook,day 7,279,100,2.9,6.1,2,,,,0,Three villains. One bat.,uploaded 2026-09-19; facebook-graph-api; reach 248; replays 41
2026-09-26,dodgeball-duel,17,youtube,day 6,456,108.2,22,8.2,11,0,0,,0,Nobody can hit Noodle.,uploaded 2026-09-20; youtube-data-api + youtube-analytics; avg_pct 46.6
2026-09-26,dodgeball-duel,17,tiktok,day 6,2,,,,3,0,0,,,Nobody can hit Noodle.,uploaded 2026-09-20; yt-dlp
2026-09-26,dodgeball-duel,17,instagram,day 6,117,,2.0,,3,0,0,0,,Nobody can hit Noodle.,uploaded 2026-09-20; instagram-graph-api; reach 98
2026-09-26,dodgeball-duel,17,facebook,day 6,224,94.4,2.4,,2,,,,0,Nobody can hit Noodle.,uploaded 2026-09-20; facebook-graph-api; reach 214; replays 12
2026-09-26,the-shapeshifter,9,youtube,day 5,322,115.0,24,17.5,9,0,0,,0,One actor. Five voices.,uploaded 2026-09-21; youtube-data-api + youtube-analytics; avg_pct 45.6
2026-09-26,the-shapeshifter,9,tiktok,day 5,171,,,,5,0,0,,,One actor. Five voices.,uploaded 2026-09-21; yt-dlp
2026-09-26,the-shapeshifter,9,instagram,day 5,146,,10.9,,2,0,0,0,,One actor. Five voices.,uploaded 2026-09-21; instagram-graph-api; reach 130
2026-09-26,the-shapeshifter,9,facebook,day 5,252,77.1,3.3,,2,,,,0,One actor. Five voices.,uploaded 2026-09-21; facebook-graph-api; reach 236; replays 16
2026-09-26,batman-unexpected-item,21,youtube,day 2,5938,,,,198,0,,,,His deadliest enemy yet.,uploaded 2026-09-24; youtube-data-api
2026-09-26,batman-unexpected-item,21,tiktok,day 2,567,,,,10,0,0,,,His deadliest enemy yet.,uploaded 2026-09-24; yt-dlp
2026-09-26,batman-unexpected-item,21,instagram,day 2,2465,,21.5,,33,0,2,1,,His deadliest enemy yet.,uploaded 2026-09-24; instagram-graph-api; reach 1796
2026-09-26,batman-unexpected-item,21,facebook,day 2,1304,100,9.2,20.7,10,,,,1,His deadliest enemy yet.,uploaded 2026-09-24; facebook-graph-api; reach 1124; replays 177
